0.01 2.76781e-06 2.76781e-06  0.000371538 5.6022e-06 4.89893e-06 4.97456e-06
0.02 5.62073e-06 5.62073e-06  0.000135728 1.11999e-05 1.43049e-05 1.47165e-05
0.03 9.22625e-06 9.22625e-06  0.000206593 1.68023e-05 3.23031e-05 3.34504e-05
0.04 1.3701e-05 1.3701e-05  0.000278589 2.24246e-05 6.15494e-05 6.3817e-05
0.05 1.9035e-05 1.9035e-05  0.000350692 2.80848e-05 0.000103484 0.000107212
0.06 2.51955e-05 2.51955e-05  0.000422792 3.38019e-05 0.000158907 0.000164407
0.07 3.21456e-05 3.21456e-05  0.000494831 3.95949e-05 0.000228275 0.000235845
0.08 3.98474e-05 3.98474e-05  0.00056678 4.54826e-05 0.000311839 0.000321774
0.09 4.82638e-05 4.82638e-05  0.000638619 5.14832e-05 0.000409726 0.000422331
0.1 5.73588e-05 5.73588e-05  0.000710336 5.76144e-05 0.000521991 0.000537578
0.11 6.70976e-05 6.70976e-05  0.000781924 6.3893e-05 0.000648641 0.000667538
0.12 7.74469e-05 7.74469e-05  0.00085338 7.03348e-05 0.000789651 0.000812203
0.13 8.83747e-05 8.83747e-05  0.000924704 7.6955e-05 0.00094498 0.000971551
0.14 9.98505e-05 9.98505e-05  0.000995897 8.37677e-05 0.00111457 0.00114555
0.15 0.000111845 0.000111845  0.00106697 9.07861e-05 0.00129836 0.00133416
0.16 0.000124331 0.000124331  0.00113791 9.80226e-05 0.00149627 0.00153733
0.17 0.000137281 0.000137281  0.00120875 0.000105488 0.00170821 0.00175502
0.18 0.00015067 0.00015067  0.00127949 0.000113194 0.00193411 0.00198717
0.19 0.000164473 0.000164473  0.00135015 0.000121149 0.00217385 0.00223373
0.2 0.000178669 0.000178669  0.00142072 0.000129362 0.00242735 0.00249464
0.21 0.000193234 0.000193234  0.00149124 0.000137841 0.00269448 0.00276983
0.22 0.000208147 0.000208147  0.00156171 0.000146593 0.00297515 0.00305924
0.23 0.000223388 0.000223388  0.00163216 0.000155625 0.00326922 0.00336281
0.24 0.000238939 0.000238939  0.00170259 0.000164941 0.00357657 0.00368046
0.25 0.00025478 0.00025478  0.00177304 0.000174547 0.00389707 0.00401212
0.26 0.000270894 0.000270894  0.00184351 0.000184447 0.00423058 0.00435772
0.27 0.000287264 0.000287264  0.00191403 0.000194646 0.00457696 0.00471717
0.28 0.000303874 0.000303874  0.00198462 0.000205145 0.00493606 0.0050904
0.29 0.000320709 0.000320709  0.0020553 0.000215948 0.00530773 0.00547732
0.3 0.000337754 0.000337754  0.00212608 0.000227058 0.00569181 0.00587784
0.31 0.000354994 0.000354994  0.002197 0.000238475 0.00608813 0.00629187
0.32 0.000372417 0.000372417  0.00226806 0.000250201 0.00649652 0.00671932
0.33 0.000390009 0.000390009  0.0023393 0.000262237 0.00691682 0.0071601
0.34 0.000407759 0.000407759  0.00241073 0.000274583 0.00734883 0.00761409
0.35 0.000425653 0.000425653  0.00248236 0.000287241 0.00779238 0.0080812
0.36 0.000443681 0.000443681  0.00255423 0.000300209 0.00824728 0.00856133
0.37 0.000461832 0.000461832  0.00262634 0.000313488 0.00871333 0.00905435
0.38 0.000480096 0.000480096  0.00269873 0.000327076 0.00919034 0.00956016
0.39 0.000498462 0.000498462  0.00277139 0.000340974 0.0096781 0.0100786
0.4 0.00051692 0.00051692  0.00284436 0.000355178 0.0101764 0.0106097
0.41 0.000535463 0.000535463  0.00291765 0.000369689 0.010685 0.0111531
0.42 0.000554079 0.000554079  0.00299127 0.000384504 0.0112038 0.0117089
0.43 0.000572762 0.000572762  0.00306523 0.000399622 0.0117325 0.0122768
0.44 0.000591503 0.000591503  0.00313956 0.00041504 0.0122708 0.0128567
0.45 0.000610294 0.000610294  0.00321425 0.000430757 0.0128186 0.0134485
0.46 0.000629127 0.000629127  0.00328933 0.000446769 0.0133756 0.014052
0.47 0.000647996 0.000647996  0.00336481 0.000463073 0.0139416 0.0146672
0.48 0.000666892 0.000666892  0.00344068 0.000479668 0.0145163 0.0152937
